Attrition,Age,Gender,Department,JobRole,JobLevel,MonthlyIncome,OverTime,JobSatisfaction,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,DistanceFromHome,AgeGroup,TenureGroup
0,33,Female,Research & Development,Research Director,3,13458,1,4,3,15,15,8,1,30-39,10+ Years
0,35,Male,Sales,Sales Executive,3,9069,0,1,2,9,9,1,18,30-39,6-10 Years
0,35,Female,Research & Development,Laboratory Technician,1,4014,1,1,3,4,2,2,23,30-39,0-2 Years
0,31,Male,Research & Development,Laboratory Technician,2,5915,0,4,2,10,7,1,7,30-39,6-10 Years
0,37,Male,Research & Development,Manufacturing Director,2,5993,0,3,4,7,7,0,1,30-39,6-10 Years
0,32,Male,Research & Development,Manufacturing Director,2,6162,1,4,3,9,9,7,1,30-39,6-10 Years
0,38,Female,Research & Development,Laboratory Technician,2,2406,0,4,3,10,10,9,29,30-39,6-10 Years
0,50,Female,Research & Development,Research Director,5,18740,1,3,2,29,27,13,7,40-49,10+ Years
0,59,Female,Sales,Sales Executive,3,7637,0,1,2,28,21,7,25,50+,10+ Years
0,36,Female,Research & Development,Healthcare Representative,3,10096,0,3,3,17,17,12,8,30-39,10+ Years
0,55,Female,Research & Development,Manager,4,14756,1,3,3,21,5,0,8,50+,3-5 Years
0,36,Male,Research & Development,Manufacturing Director,2,6499,0,2,3,6,6,0,11,30-39,6-10 Years
0,45,Male,Research & Development,Research Scientist,3,9724,0,1,3,25,1,0,7,40-49,0-2 Years
0,35,Male,Research & Development,Research Scientist,1,2194,0,1,2,5,3,1,1,30-39,3-5 Years
1,36,Male,Research & Development,Research Scientist,1,3388,1,3,2,2,1,0,9,30-39,0-2 Years
0,59,Female,Sales,Sales Executive,2,5473,0,3,2,20,4,1,1,50+,3-5 Years
0,29,Male,Research & Development,Research Scientist,1,2703,0,2,3,6,5,0,2,Under 30,3-5 Years
0,31,Male,Research & Development,Research Scientist,1,2501,0,2,3,1,1,1,1,30-39,0-2 Years
0,32,Male,Research & Development,Research Scientist,2,6220,0,2,3,10,10,0,1,30-39,6-10 Years
0,36,Female,Research & Development,Laboratory Technician,1,3038,0,4,3,5,1,0,6,30-39,0-2 Years
0,31,Female,Research & Development,Manufacturing Director,2,4424,0,4,3,11,11,1,8,30-39,10+ Years
0,35,Male,Sales,Sales Executive,2,4312,0,1,3,16,15,2,1,30-39,10+ Years
0,45,Male,Research & Development,Research Director,3,13245,1,1,4,17,0,0,6,40-49,0-2 Years
0,37,Male,Research & Development,Research Director,3,13664,0,3,4,16,5,0,7,30-39,3-5 Years
0,46,Male,Human Resources,Human Resources,2,5021,1,2,3,16,4,0,5,40-49,3-5 Years
0,30,Male,Research & Development,Laboratory Technician,2,5126,1,4,2,10,10,3,1,Under 30,6-10 Years
0,35,Male,Research & Development,Research Scientist,1,2859,0,3,3,6,6,0,1,30-39,6-10 Years
0,55,Male,Sales,Sales Executive,3,10239,0,4,3,24,1,1,1,50+,0-2 Years
0,38,Female,Research & Development,Research Scientist,2,5329,1,4,3,17,13,1,6,30-39,10+ Years
0,34,Male,Research & Development,Manufacturing Director,2,4325,0,2,3,5,5,1,1,30-39,3-5 Years
0,56,Male,Research & Development,Manufacturing Director,3,7260,0,4,2,37,6,0,7,50+,6-10 Years
0,23,Male,Sales,Sales Representative,1,2322,0,1,3,3,0,0,2,Under 30,0-2 Years
0,51,Male,Research & Development,Laboratory Technician,1,2075,0,4,3,10,4,0,9,50+,3-5 Years
0,30,Male,Research & Development,Healthcare Representative,2,4152,0,4,3,11,11,10,2,Under 30,10+ Years
1,46,Male,Sales,Sales Executive,3,9619,0,4,3,9,9,4,9,40-49,6-10 Years
0,40,Male,Research & Development,Healthcare Representative,4,13503,0,2,2,22,22,11,1,30-39,10+ Years
0,51,Male,Sales,Sales Executive,2,5441,1,4,1,11,10,1,21,50+,6-10 Years
0,30,Female,Sales,Sales Executive,2,5209,1,2,2,11,11,2,4,Under 30,10+ Years
0,46,Male,Research & Development,Healthcare Representative,3,10673,1,1,2,21,10,9,1,40-49,6-10 Years
0,32,Male,Sales,Sales Executive,2,5010,0,3,3,12,11,5,6,30-39,10+ Years
0,54,Female,Research & Development,Research Director,3,13549,0,3,1,16,4,0,2,50+,3-5 Years
0,24,Female,Sales,Sales Executive,2,4999,0,3,2,4,3,0,3,Under 30,3-5 Years
0,28,Male,Sales,Sales Executive,2,4221,0,3,4,5,5,0,4,Under 30,3-5 Years
0,58,Male,Sales,Sales Executive,4,13872,0,3,2,38,37,1,10,50+,10+ Years
0,44,Male,Research & Development,Laboratory Technician,2,2042,0,2,4,17,3,1,23,40-49,3-5 Years
1,37,Male,Human Resources,Human Resources,1,2073,1,1,3,7,3,0,6,30-39,3-5 Years
0,32,Male,Research & Development,Research Scientist,1,2956,0,1,3,1,1,0,1,30-39,0-2 Years
1,20,Female,Research & Development,Laboratory Technician,1,2926,1,4,3,1,1,1,6,Under 30,0-2 Years
0,34,Female,Research & Development,Research Scientist,2,4809,0,3,3,16,16,2,6,30-39,10+ Years
0,37,Male,Research & Development,Healthcare Representative,2,5163,0,4,4,17,1,0,2,30-39,0-2 Years
0,59,Female,Human Resources,Manager,5,18844,0,4,3,30,3,2,2,50+,3-5 Years
0,50,Female,Research & Development,Research Director,5,18172,1,2,2,28,8,0,1,40-49,6-10 Years
1,25,Male,Sales,Sales Executive,2,5744,1,3,3,6,6,0,5,Under 30,6-10 Years
0,25,Male,Research & Development,Research Scientist,1,2889,0,4,3,2,2,2,7,Under 30,0-2 Years
0,22,Female,Research & Development,Laboratory Technician,1,2871,0,4,3,1,0,0,15,Under 30,0-2 Years
0,51,Female,Research & Development,Healthcare Representative,3,7484,0,1,2,23,13,12,1,50+,10+ Years
1,34,Male,Research & Development,Laboratory Technician,2,6074,1,3,3,9,9,0,7,30-39,6-10 Years
0,54,Female,Human Resources,Manager,4,17328,1,4,3,23,5,4,26,50+,3-5 Years
0,24,Male,Research & Development,Laboratory Technician,1,2774,0,3,3,6,5,1,18,Under 30,3-5 Years
0,34,Female,Research & Development,Research Scientist,2,4505,0,2,3,12,1,0,6,30-39,0-2 Years
0,37,Male,Sales,Sales Executive,3,7428,0,4,3,12,5,1,3,30-39,3-5 Years
0,34,Female,Research & Development,Manager,3,11631,0,1,3,14,11,5,5,30-39,10+ Years
0,36,Female,Sales,Sales Executive,3,9738,0,4,3,10,9,2,11,30-39,6-10 Years
0,36,Female,Research & Development,Laboratory Technician,1,2835,0,4,3,7,1,0,3,30-39,0-2 Years
0,43,Male,Sales,Manager,4,16959,1,4,4,25,25,4,26,40-49,10+ Years
0,30,Male,Research & Development,Research Scientist,1,2613,0,3,2,10,10,0,23,Under 30,6-10 Years
0,33,Male,Sales,Sales Executive,2,6146,0,2,4,8,7,0,22,30-39,6-10 Years
1,56,Female,Research & Development,Research Scientist,1,4963,1,2,3,7,5,4,14,50+,3-5 Years
0,51,Male,Research & Development,Research Director,5,19537,0,3,3,23,20,15,6,50+,10+ Years
1,31,Male,Sales,Sales Executive,2,6172,1,3,2,12,7,7,6,30-39,6-10 Years
0,26,Female,Research & Development,Research Scientist,1,2368,0,2,2,5,5,4,6,Under 30,3-5 Years
1,58,Female,Research & Development,Healthcare Representative,3,10312,0,4,2,40,40,15,23,50+,10+ Years
1,19,Male,Sales,Sales Representative,1,1675,1,3,2,0,0,0,22,Under 30,0-2 Years
0,22,Male,Research & Development,Laboratory Technician,1,2523,0,4,3,3,2,2,2,Under 30,0-2 Years
0,49,Female,Research & Development,Manufacturing Director,2,6567,0,1,2,16,15,5,20,40-49,10+ Years
0,43,Female,Research & Development,Research Scientist,1,4739,0,3,3,18,3,1,28,40-49,3-5 Years
0,50,Female,Sales,Sales Executive,3,9208,0,4,3,16,2,2,12,40-49,0-2 Years
1,31,Female,Sales,Sales Executive,2,4559,1,3,3,4,2,2,20,30-39,0-2 Years
0,41,Male,Sales,Sales Executive,3,8189,1,3,3,12,9,0,9,40-49,6-10 Years
0,26,Female,Human Resources,Human Resources,1,2942,0,3,3,8,8,5,25,Under 30,6-10 Years
0,36,Male,Research & Development,Manufacturing Director,2,4941,0,2,3,7,3,0,6,30-39,3-5 Years
1,51,Male,Research & Development,Manufacturing Director,3,10650,0,4,3,18,4,0,8,50+,3-5 Years
0,39,Female,Sales,Sales Executive,2,5902,0,3,4,17,15,5,4,30-39,10+ Years
0,25,Male,Sales,Sales Executive,2,8639,0,3,3,6,2,2,28,Under 30,0-2 Years
0,30,Male,Human Resources,Human Resources,2,6347,1,4,1,12,11,4,9,Under 30,10+ Years
1,32,Female,Research & Development,Laboratory Technician,1,4200,0,1,4,10,5,0,9,30-39,3-5 Years
0,45,Male,Research & Development,Research Scientist,1,3452,0,4,2,9,6,0,29,40-49,6-10 Years
0,38,Female,Research & Development,Research Scientist,2,4317,1,3,3,19,3,2,3,30-39,3-5 Years
0,30,Female,Research & Development,Research Scientist,1,2632,0,3,2,5,5,0,18,Under 30,3-5 Years
0,32,Male,Sales,Sales Executive,2,4668,0,4,4,9,8,0,9,30-39,6-10 Years
0,30,Female,Research & Development,Research Scientist,1,3204,0,1,3,8,3,2,5,Under 30,3-5 Years
0,30,Male,Research & Development,Laboratory Technician,1,2720,0,4,3,6,5,1,2,Under 30,3-5 Years
0,41,Male,Research & Development,Manager,4,17181,0,1,2,21,7,7,10,40-49,6-10 Years
0,41,Male,Research & Development,Laboratory Technician,1,2238,0,1,3,7,5,1,9,40-49,3-5 Years
0,19,Female,Research & Development,Laboratory Technician,1,1483,0,2,3,1,1,0,3,Under 30,0-2 Years
0,40,Female,Research & Development,Research Scientist,2,5605,0,2,3,20,20,2,26,30-39,10+ Years
0,35,Male,Sales,Sales Executive,3,7295,0,2,3,10,10,0,1,30-39,6-10 Years
0,53,Male,Sales,Sales Representative,2,2306,1,3,1,13,7,4,6,50+,6-10 Years
0,45,Male,Research & Development,Laboratory Technician,2,2348,0,2,1,20,17,0,9,40-49,10+ Years
0,32,Female,Sales,Sales Executive,3,8998,0,4,3,9,9,3,8,30-39,6-10 Years
0,29,Male,Research & Development,Manufacturing Director,2,4319,0,3,3,10,10,0,1,Under 30,6-10 Years
0,51,Male,Research & Development,Manufacturing Director,2,6132,0,3,3,10,1,0,7,50+,0-2 Years
0,58,Female,Research & Development,Research Scientist,1,3346,1,2,2,9,1,0,9,50+,0-2 Years
0,40,Male,Sales,Sales Executive,3,10855,0,4,2,15,12,2,4,30-39,10+ Years
0,34,Female,Sales,Sales Representative,1,2231,0,3,3,6,4,1,2,30-39,3-5 Years
0,22,Male,Research & Development,Research Scientist,1,2323,0,4,3,2,2,2,19,Under 30,0-2 Years
0,27,Male,Research & Development,Research Scientist,1,2024,0,2,1,6,2,2,9,Under 30,0-2 Years
0,28,Male,Research & Development,Research Scientist,1,2713,0,4,1,5,5,0,21,Under 30,3-5 Years
0,57,Male,Research & Development,Healthcare Representative,3,9439,1,4,1,12,5,1,24,50+,3-5 Years
0,27,Male,Research & Development,Research Scientist,1,2566,1,3,2,1,1,0,3,Under 30,0-2 Years
0,50,Female,Research & Development,Manager,5,19926,0,2,3,21,5,4,11,40-49,3-5 Years
0,41,Male,Research & Development,Research Scientist,1,2451,0,3,3,13,9,1,14,40-49,6-10 Years
0,30,Female,Sales,Sales Executive,3,9419,0,4,3,12,10,7,5,Under 30,6-10 Years
0,38,Female,Sales,Sales Executive,2,8686,0,4,4,12,8,0,1,30-39,6-10 Years
0,32,Male,Research & Development,Research Scientist,1,3038,0,3,3,8,5,1,6,30-39,3-5 Years
0,27,Male,Research & Development,Research Scientist,1,3058,1,2,2,6,5,1,17,Under 30,3-5 Years
1,19,Female,Sales,Sales Representative,1,2325,0,1,4,1,0,0,1,Under 30,0-2 Years
0,36,Male,Research & Development,Laboratory Technician,1,2088,0,2,2,13,8,7,3,30-39,6-10 Years
0,30,Male,Research & Development,Laboratory Technician,2,3072,0,1,3,12,12,6,9,Under 30,10+ Years
0,45,Female,Sales,Sales Executive,2,5006,1,1,4,9,5,0,4,40-49,3-5 Years
0,56,Female,Research & Development,Research Scientist,1,4257,1,1,3,19,2,2,8,50+,0-2 Years
0,33,Male,Research & Development,Research Scientist,1,2500,0,4,4,4,3,0,2,30-39,3-5 Years
1,19,Male,Research & Development,Laboratory Technician,1,1102,0,4,2,1,1,1,2,Under 30,0-2 Years
0,46,Female,Sales,Sales Executive,3,10453,0,1,3,24,24,15,1,40-49,10+ Years
0,38,Female,Research & Development,Laboratory Technician,1,2288,0,4,3,2,2,2,9,30-39,0-2 Years
0,31,Female,Research & Development,Research Scientist,1,3929,1,4,3,7,4,0,12,30-39,3-5 Years
0,34,Female,Research & Development,Research Scientist,1,2311,0,2,3,9,3,1,27,30-39,3-5 Years
1,41,Female,Sales,Sales Representative,1,3140,1,2,2,4,4,0,20,40-49,3-5 Years
0,50,Male,Research & Development,Laboratory Technician,1,3690,0,3,2,5,3,0,1,40-49,3-5 Years
0,53,Female,Research & Development,Manufacturing Director,2,4450,0,1,3,5,4,1,13,50+,3-5 Years
0,33,Female,Research & Development,Research Scientist,1,2756,0,2,3,8,8,1,14,30-39,6-10 Years
0,40,Female,Research & Development,Manager,5,19033,0,3,3,21,20,9,4,30-39,10+ Years
0,55,Male,Research & Development,Research Director,5,18722,0,2,3,36,24,2,14,50+,10+ Years
0,34,Male,Research & Development,Manufacturing Director,2,9547,0,3,2,10,10,1,2,30-39,6-10 Years
0,51,Female,Research & Development,Healthcare Representative,4,13734,0,2,3,21,7,1,3,50+,6-10 Years
0,52,Male,Research & Development,Manager,5,19999,0,3,3,34,33,11,1,50+,10+ Years
0,27,Female,Research & Development,Research Scientist,1,2279,0,2,2,7,7,0,9,Under 30,6-10 Years
1,35,Male,Research & Development,Manufacturing Director,2,5916,1,3,3,8,1,0,23,30-39,0-2 Years
0,43,Male,Research & Development,Research Scientist,1,2089,0,4,4,7,5,2,7,40-49,3-5 Years
0,45,Male,Research & Development,Manager,4,16792,0,4,3,22,20,11,2,40-49,10+ Years
0,37,Male,Research & Development,Research Scientist,1,3564,1,1,2,8,8,1,21,30-39,6-10 Years
0,35,Female,Research & Development,Laboratory Technician,2,4425,0,2,3,10,6,1,2,30-39,6-10 Years
0,42,Female,Research & Development,Manufacturing Director,2,5265,0,3,3,11,5,0,21,40-49,3-5 Years
0,38,Male,Research & Development,Manufacturing Director,2,6553,0,3,3,14,1,0,2,30-39,0-2 Years
0,38,Male,Research & Development,Manufacturing Director,2,6261,0,4,1,9,7,1,29,30-39,6-10 Years
0,27,Male,Research & Development,Manufacturing Director,2,4298,0,1,3,6,2,2,1,Under 30,0-2 Years
0,49,Male,Research & Development,Manufacturing Director,2,6804,1,4,3,7,7,1,18,40-49,6-10 Years
0,34,Male,Research & Development,Research Scientist,1,3815,1,3,4,5,5,2,10,30-39,3-5 Years
0,40,Male,Research & Development,Laboratory Technician,2,2741,1,4,4,15,7,3,19,30-39,6-10 Years
1,38,Male,Research & Development,Healthcare Representative,2,6673,1,1,3,17,1,0,29,30-39,0-2 Years
1,29,Female,Sales,Sales Executive,3,7639,0,4,2,10,10,1,27,Under 30,6-10 Years
0,22,Male,Research & Development,Research Scientist,1,2328,1,2,2,4,4,2,5,Under 30,3-5 Years
0,36,Female,Research & Development,Laboratory Technician,1,2153,0,4,3,8,8,1,18,30-39,6-10 Years
0,40,Male,Research & Development,Healthcare Representative,2,4876,0,4,1,5,3,0,9,30-39,3-5 Years
0,46,Male,Research & Development,Healthcare Representative,3,9396,0,1,3,17,4,0,1,40-49,3-5 Years
1,32,Male,Sales,Sales Executive,3,10400,0,4,2,14,14,9,4,30-39,10+ Years
0,30,Male,Research & Development,Manufacturing Director,3,8474,0,3,3,12,11,5,1,Under 30,10+ Years
0,27,Female,Sales,Sales Executive,2,9981,0,3,3,7,7,0,20,Under 30,6-10 Years
0,51,Male,Research & Development,Research Director,3,12490,0,2,1,16,10,4,8,50+,6-10 Years
1,30,Female,Research & Development,Research Scientist,1,2657,1,1,3,8,5,0,3,Under 30,3-5 Years
0,41,Female,Sales,Manager,3,13591,1,4,3,16,1,0,6,40-49,0-2 Years
1,30,Female,Sales,Sales Executive,2,6696,0,1,2,9,6,0,26,Under 30,6-10 Years
1,29,Male,Research & Development,Research Scientist,1,2058,0,3,2,7,6,1,1,Under 30,6-10 Years
0,45,Female,Sales,Sales Executive,3,8865,0,4,3,23,19,12,6,40-49,10+ Years
0,54,Female,Sales,Sales Executive,2,5940,0,1,3,16,6,0,3,50+,6-10 Years
0,36,Male,Research & Development,Laboratory Technician,2,5914,0,2,4,16,13,3,5,30-39,10+ Years
0,33,Female,Research & Development,Research Scientist,1,2622,0,2,3,7,3,1,4,30-39,3-5 Years
0,37,Male,Research & Development,Research Director,3,12185,1,4,3,10,10,0,11,30-39,6-10 Years
0,38,Male,Sales,Sales Executive,3,10609,0,3,2,17,16,5,3,30-39,10+ Years
0,31,Male,Research & Development,Manufacturing Director,2,4345,0,3,3,6,5,1,1,30-39,3-5 Years
0,59,Male,Research & Development,Research Scientist,1,2177,0,4,3,7,1,0,3,50+,0-2 Years
0,37,Male,Sales,Sales Representative,1,2793,0,4,3,13,9,5,4,30-39,6-10 Years
0,29,Female,Sales,Sales Executive,3,7918,0,4,3,11,11,4,1,Under 30,10+ Years
0,35,Female,Sales,Sales Executive,3,8789,0,3,4,10,10,0,1,30-39,6-10 Years
1,29,Male,Research & Development,Research Scientist,1,2389,1,4,2,4,4,0,18,Under 30,3-5 Years
0,52,Female,Research & Development,Laboratory Technician,1,3212,0,4,2,6,2,2,2,50+,0-2 Years
0,42,Male,Research & Development,Manager,5,19232,0,4,3,22,22,11,4,40-49,10+ Years
0,59,Male,Human Resources,Human Resources,1,2267,0,3,2,7,2,2,6,50+,0-2 Years
0,50,Female,Sales,Manager,5,19517,0,4,2,32,7,0,1,40-49,6-10 Years
1,33,Male,Research & Development,Laboratory Technician,1,2436,1,4,1,8,5,0,14,30-39,3-5 Years
0,43,Female,Sales,Manager,4,16064,1,4,3,22,17,1,16,40-49,10+ Years
1,33,Female,Research & Development,Laboratory Technician,1,2707,0,1,4,13,9,1,2,30-39,6-10 Years
0,52,Male,Sales,Manager,5,19068,1,3,4,33,33,15,2,50+,10+ Years
0,32,Female,Sales,Sales Representative,1,3931,0,2,3,6,4,1,4,30-39,3-5 Years
1,32,Male,Research & Development,Laboratory Technician,1,3730,1,3,1,4,3,1,1,30-39,3-5 Years
0,39,Female,Research & Development,Laboratory Technician,1,2232,0,3,3,7,3,1,1,30-39,3-5 Years
0,32,Male,Sales,Sales Executive,2,4465,0,4,3,4,3,2,26,30-39,3-5 Years
0,41,Male,Research & Development,Research Scientist,2,3072,0,1,2,17,1,0,19,40-49,0-2 Years
0,40,Male,Research & Development,Research Scientist,2,3319,0,4,3,9,9,4,24,30-39,6-10 Years
0,45,Male,Research & Development,Manager,5,19202,0,4,3,25,24,1,1,40-49,10+ Years
0,31,Male,Research & Development,Research Director,3,13675,0,3,3,9,2,2,3,30-39,0-2 Years
0,33,Female,Research & Development,Research Scientist,1,2911,0,4,2,2,2,0,5,30-39,0-2 Years
0,34,Male,Research & Development,Manufacturing Director,2,5957,0,1,3,13,11,5,2,30-39,10+ Years
0,37,Female,Research & Development,Research Scientist,1,3920,0,1,2,17,3,0,1,30-39,3-5 Years
0,45,Male,Research & Development,Manufacturing Director,2,6434,0,3,3,9,3,0,7,40-49,3-5 Years
1,37,Male,Research & Development,Manufacturing Director,3,10048,0,3,3,17,1,0,10,30-39,0-2 Years
0,39,Female,Research & Development,Healthcare Representative,3,10938,0,3,3,20,19,11,2,30-39,10+ Years
0,29,Male,Research & Development,Research Scientist,1,2340,0,4,3,6,6,1,15,Under 30,6-10 Years
0,42,Female,Research & Development,Research Scientist,2,6545,1,1,3,10,3,0,17,40-49,3-5 Years
0,29,Male,Sales,Sales Executive,2,6931,0,4,3,10,3,0,20,Under 30,3-5 Years
0,25,Female,Research & Development,Manufacturing Director,2,4898,0,3,3,5,4,1,1,Under 30,3-5 Years
0,42,Female,Research & Development,Laboratory Technician,1,2593,1,1,3,10,9,7,2,40-49,6-10 Years
0,40,Male,Research & Development,Research Director,5,19436,0,3,3,22,21,3,2,30-39,10+ Years
0,51,Male,Research & Development,Research Scientist,1,2723,0,4,2,1,1,0,1,50+,0-2 Years
1,31,Male,Research & Development,Laboratory Technician,1,3479,0,2,4,6,5,1,29,30-39,3-5 Years
0,32,Male,Research & Development,Laboratory Technician,1,2794,0,2,1,5,5,0,7,30-39,3-5 Years
0,38,Male,Sales,Sales Executive,2,5249,0,4,3,13,8,7,2,30-39,6-10 Years
0,32,Male,Research & Development,Laboratory Technician,2,2176,0,1,3,9,6,0,2,30-39,6-10 Years
0,46,Female,Sales,Manager,4,16872,1,2,2,28,7,7,2,40-49,6-10 Years
1,28,Male,Research & Development,Laboratory Technician,1,3485,0,3,1,5,0,0,2,Under 30,0-2 Years
0,29,Male,Sales,Sales Executive,2,6644,0,2,3,10,0,0,2,Under 30,0-2 Years
0,31,Male,Research & Development,Healthcare Representative,2,5582,0,4,3,10,9,7,23,30-39,6-10 Years
0,25,Male,Research & Development,Healthcare Representative,2,4000,0,1,3,6,6,1,5,Under 30,6-10 Years
0,45,Male,Research & Development,Healthcare Representative,4,13496,1,4,3,21,20,4,20,40-49,10+ Years
0,36,Male,Research & Development,Laboratory Technician,1,3210,0,4,3,16,15,10,6,30-39,10+ Years
0,55,Male,Research & Development,Manager,5,19045,1,1,3,37,36,4,1,50+,10+ Years
1,47,Male,Research & Development,Manager,3,11849,1,2,2,10,10,9,29,40-49,6-10 Years
0,28,Male,Research & Development,Research Scientist,1,2070,0,4,2,5,5,0,9,Under 30,3-5 Years
0,37,Male,Sales,Sales Executive,2,6502,0,4,4,7,5,0,6,30-39,3-5 Years
0,21,Male,Research & Development,Research Scientist,1,3230,0,3,4,3,3,1,3,Under 30,3-5 Years
0,37,Female,Research & Development,Research Director,3,13603,1,4,3,15,5,0,1,30-39,3-5 Years
